,budget_x,movie_facebook_likes,War,actor_3_facebook_likes,Drama,Action,cast_total_facebook_likes,cinematographer,mpaa,composer
322,-0.083762294,0.09392288,0,-0.266331935,0,1,-0.03828267,61,2,172
323,0.018598044,-0.537623998,0,-0.463294847,0,1,-0.876501895,187,2,77
324,-0.310422688,0.346478492,0,-0.291113216,1,0,-0.73655099,213,2,89
325,-0.191819067,-0.569035602,0,-0.230930104,0,1,0.502695695,59,1,13
326,0.567836049,-0.569035602,0,-0.141460024,1,1,0.952668817,228,2,91
327,-0.159577296,-0.569035602,0,-0.285320189,0,0,0.481046653,60,1,168
328,0.053669278,-0.569035602,0,-0.215160198,0,1,0.37656649,159,2,47
329,-0.002133149,-0.569035602,0,-0.35805486,0,0,-0.761519222,195,2,102
330,0.168232862,-0.555997418,0,-0.16591947,0,0,0.513000045,245,1,130
331,0.100532719,-0.569035602,0,-0.191344421,0,1,-0.643068739,44,2,182
332,-0.05396965,-0.032354926,0,-0.45750182,1,0,-0.060228953,75,3,105
333,0.143293725,-0.569035602,0,-0.300768261,0,1,0.183409472,172,2,137
334,-0.143208759,-0.569035602,0,-0.145322041,0,1,0.399701737,170,3,45
335,0.034092026,-0.569035602,0,-0.385732654,0,0,-0.786685615,42,1,189
336,-0.005908339,-0.221771635,0,-0.357733025,1,0,-0.234957039,106,2,174
337,-0.579652727,-0.540844082,0,-0.336491926,0,0,-0.779006893,256,3,184
338,-0.299536615,2.745756806,0,-0.153367912,0,0,-0.217122587,170,2,27
339,-0.106399168,-0.190202184,0,0.824044446,0,0,0.535144489,243,2,168
340,-0.350154972,-0.063924378,0,-0.388629168,1,0,-0.074100193,110,2,106
341,0.143293725,-0.569035602,0,-0.222562399,1,1,-0.706975524,59,2,91
